word,pos,meaning,sentence,sentence_meaning
casino,n.,赌场,The city of dreams casino does not seem worried about the decline in tour groups,
studio,n.,演播室；工作室；单间公寓,The studio was filled with the scent of wild flowers,
downtown,n./adj.,市中心/市中心的,Most of the old buildings in the downtown were torn down,
urban,adj.,城市的,Both urban and rural areas are more and more prosperous,
peripheral,adj./n.,外围的/外围设备,The peripheral parts of the city are poor,
vicinity,n.,附近；附近地区,The stolen car was found in the vicinity of the station,
room,n.,房间；空间,There is no room for a table in my bedroom,
void,n./adj.,空间；空白；空虚/空的,"The amusement park will fill a void in this town, which has little entertainment for children",
spacious,adj.,宽敞的,The hotel room is neither spacious nor comfortable,
airtight,adj.,密封的；不透气的,The whole room is airtight,
expanse,n.,广阔；辽阔,There was a vast expanse of desert before us,
plaza,n.,广场；购物中心,The plaza is crammed with people,
castle,n.,城堡,The ancient castle commands a fine view of the town,
carpenter,n.,木匠,The carpenter charged ninety dollars for the job,
mason,n.,石匠；泥瓦匠,He asked the mason to make him a tombstone,
tile,n.,瓦；瓷砖,Clay is used to make things like pots and tiles,
brickwork,n.,砖结构,There is a weird crack in the brickwork,
suspension,n.,暂缓；暂令停职、停赛,I think her suspension from the team is a very harsh punishment,
hook,n.,钩；钩状物；勾拳,Hang your coat on the hook,
lever,n.,杠杆；操纵杆,Push the lever and the machine will start,
pole,n.,竿；杆,The hut is made of poles covered with grass mats,
scaffold,n.,脚手架；绞刑架,The worker fell down from the scaffold,
infrastructure,n.,基础设施,"The local government is too poor to invest in social welfare programs, new infrastructure or anything else",
apparatus,n.,机械；装置,A new piece of apparatus was used in the experiment,
crane,n.,起重机；鹤,We used a crane to lift a slab of concrete,
malfunction,v.,发生故障,The computer malfunctioned and printed out wrong words,
maintain,v.,维持；维修；坚称,It is absolutely vital that food supplies should be maintained,
fix,v.,修理；使固定,My watch has stopped. Can you fix it?,
mend,v.,修理；（使）康复,It won't take long to mend the car,
modify,v.,稍作修改,We have to modify our plan a little bit,
trim,v./adj.,修剪；装饰/整齐的、整洁的,They trimmed their Christmas tree and put strings of color lights on it,
weld,v.,焊接；使紧密结合,His job is to weld all those parts together,
saw,n.,锯,The electric saw winds when my uncle uses it to cut the fallen tree,
screw,n.,螺丝钉；螺旋架,Turn the screw to the right to tighten it,
drill,n./v.,钻机；反复练习/钻孔；训练,The Saudi government has announced plans to drill for water in the desert,
plumb,n./v.,（表示垂直度的）铅锤/用铅锤线校正,We need to plumb the line,
viaduct,n.,高架桥,An overhead road for cars or trains is called a viaduct,
span,n.,跨距；跨度；持续时间,The bridge has a clear span of 40 meters,
dam,n./v.,水坝/控制、抑制,A new dam is under construction at the valley,
assemble,v.,组装；装配,She assembled the bookshelf all by herself,
install,v.,安装,We're installing a new heating system,
furnish,v.,为...配备家具陈设,The house is well furnished,
placement,n.,放置、布置,The placement of the buttons and knobs in the car is well thought out,
layout,n.,设计；布局,The new page layout is appealing to teenagers,
design,v./n.,设计；计划/设计,He has already designed a good excuse for not attending the conference,
entrance,n.,入口；进入权,I'll meet you at the entrance of the zoo tomorrow,
entry,n.,进入；进入权,He pretended not to observe our entry,
enter,v.,进入,Please knock on the door before you enter,
exit,n./v.,出口；退场；离去/离去,I was eventually granted an exit visa,
outside,adj./n.,外部的/外表,He had a tough outside but a kind heart,
outward,adj./adv.,向外的/向外,"Frost consists of tiny crystals of ice, which grow outward from a solid surface",
exterior,n./adj.,外部；外观/外部的,The designer gives a design for the exterior of the container,
external,adj.,外来的；外面的；对外的,The external sector has improved performance significantly during the period,
inner,adj.,内部的；内心的,I can feel the inner peace again,
interior,n./adj.,内部/内部的,Interior design is a very promising industry nowadays,
inward,adj./adv.,向内的；内心的/向内,The expedition discovered an inward passage,
internal,adj.,内部的；自身的；国内的,Every theory has its internal logic,
act,v./n.,行动/行为,"Dreaming is one thing, but acting is another",
behave,v.,表现；运转,The children must behave in a way which would be socially acceptable,
deed,n.,行为；功绩；契约,The primacy of the deed is over word and thought,
accustom,v.,使习惯于,They have to accustom themselves to the hot weather,
react,v.,作出反应，反应,An acid can react with an alkali to form a salt,
respond,v.,回答；响应，作出反应,"I offered him a drink, but he didn't respond",
reflect,v.,反应；反射,Her look reflected the thought passing though her mind,
bear,v.,生（孩子）；容忍；承担（责任）,They must bear most of the blame,
adopt,v.,收养；采取；采纳,They adopted our effective methods,
nourish,v.,滋养；给...提供营养,Milk could nourish a baby,
mow,v./n.,割，修剪/干草堆,I want to have my garden mowed,
support,v./n.,支撑；支持；供养/支持；帮助,"We should encourage and support them to participate in collective activities with friends, family, colleagues and support groups",
exhale,v.,呼气；呼出,Take a deep breath then exhale slowly,
intake,n.,吸入；摄取量；新招收者,He heard a sharp intake of breath,
revive,v.,（使）苏醒；（使）复兴；（使）复活,The fresh air soon revived him,
survive,v.,幸存；生存,"The man was very ill, but he survived",
glare,v./n.,怒目而视；发出强光/刺眼的光；怒视,The glare of the oncoming headlights temporarily blinded me,
glimpse,v./n.,瞥见/一瞥,I caught a glimpse of our new neighbor,
glance,v./n.,瞥，迅速看一眼/一瞥,The man glanced at the burglar climbing out of the window,
peep,v./n.,窥视，偷看/偷偷一瞥,I peeped through the window to see if she was there,
gaze,v.,凝视，注视,The child gazed at the toys in the shop window,
peer,v./n.,凝视；盯着看/同等地位的人，同辈,"The new postman peered through the mist, trying to find the right house",
stare,v.,凝视，盯着看,"He stared at the word, trying to remember what it meant",
contemplate,v.,凝视；沉思；考虑,The young surgeon contemplated the difficult operation of kidney transplant,
vow,n./v.,誓约/发誓,The couple made their wedding vows at Saint Paul's church,
oath,n.,誓言；宣誓,He swore an oath to support and protect the king,
pledge,v./n.,保证/保证；誓言,The conflicts continued in spite of a no strike pledge by the unions,
whistle,n./v.,口哨；哨子；汽笛声/吹口哨；吹哨子,The referee blew the whistle at the end of the game,
reply,v./n.,回答，答复,He tried to reply and then stopped,
notify,v.,通知，告知,I notified him that the meeting had been postponed,
assert,v.,断言，坚称；坚持（自己的）主张,Justice will assert itself,
explain,v.,说明；解释,He explained his plan in detail,
quarrel,v./n.,吵架，争论,We had a quarrel about the price,
dispute,v./n.,争论，辩论,A long dispute means that both parties are wrong,
argument,n.,辩论，争论；论点，论据,We accepted the agreement without argument,
mention,v./n.,提及；说起,"As for that film you mentioned, not my scene",
hurry,v./n.,赶紧；催促/匆忙,I'm in no hurry to get back to school,
hasten,v.,赶紧；促进,It was now obvious that she was hastening to restore the car to its owner,
urge,v.,催促，敦促/冲动,They urged Washington to reconsider its decision,
scold,v.,责骂，斥责,Don't scold the children without reason,
curse,v./n.,诅咒；咒骂/咒语,A light purse is a heavy curse 贫穷是沉重的诅咒,
swear,v.,诅咒；咒骂；发誓；保证,He had to swear that his story was true,
provoke,v.,激怒，挑拨；引起,"Mind you, that dog is very dangerous when provoked",
preach,v.,宣扬,He was always preaching about the benefits of exercise and fresh air,
boast,v./n.,自夸，吹嘘,Nobody should boast of his knowledge,
tease,v.,取笑；嘲弄,"If you always tease others like that, you'll forfeit the good opinions of your friends",
mock,v./adj.,嘲笑；嘲弄/模拟的；假装的,They mocked at my timidity,
touch,v./n.,触摸；触动/触觉，接触,"By the way, you don't want to touch the onion and then touch your eyes",
hug,v./n.,拥抱,He hugged his daughter tightly,
tap,v.,轻拍，轻扣，开发,My father tapped me on the shoulder,
clap,v./n.,拍手；轻拍/鼓掌,Let's give the children a big clap,
applaud,v.,鼓掌；称赞；赞许,Everyone applauded when the play ended,
kneel,v.,跪下，跪,The man knelt down to say his pray,
catch,v.,捉住；赶上；领会,It is natural for a cat to catch mice,
snatch,v.,一把抓住；迅速夺取,The snatched the book from my hands,
grab,v.,抓住，攫取；（匆忙的）取,She grabbed the seat near the fire before I could,
grasp,v.,抓牢 ，握紧；完全理解，全面领会,A man who grasps at too much may lose everything,
overtake,v.,追上，超过；（情感）压倒,I had to drive very fast to overtake you,
follow,v.,跟随；是...的必然结果；遵循,You are to follow his advice,
grip,v./n.,紧握，抓牢/紧握，抓牢；理解，了解,She has a fragile grip on reality,
mess,n./v.,混乱，脏乱/弄乱,Your books and magazines are all in a mess; go and put them in order.,
twist,v./n.,拧，扭；使缠绕/拧，扭动,Twist the lid to open it,
scatter,v.,撒；（使）散开,The crowd scattered when a dustbin suddenly exploded,
fold,v.,折叠，对折,She folded the letter so that it would fit into her bag,
fasten,v.,扣牢，系紧,Please fasten your seatbelts while the plane is taking off,
loosen,v.,解开，松开，放宽,My belt is too tight. I must loosen it,
smash,v.,打碎；（使）猛烈撞击；（打球时）扣球,"Although the bed was smashed to pieces, the man was miraculously unhurt",
scratch,v./n.,擦破，刮坏；搔/乱涂；划痕，擦伤,He scratched the insect bite on his arm,
wipe,v.,揩，擦,She wiped off dust with a rag,
scrape,v./n.,刮掉；擦坏；勉强获得/刮；擦伤,The family has to scrape by on social security,
polish,v.,擦光，擦亮；使完美，改进,Silver can be easily polished with this special cloth,
peel,v.,剥落；掉漆；脱皮,My skin always peels when I've been in the sun,
split,v.,（使）开裂、分开,The crowd split into several groups,
sway,v.,（使）摇摆、摆动、摇晃,Swaying hips properly is the basis of the heel-and-toe walking race,
shake,v./n.,摇动；（使）颤动/摇动；颤动,The movie didn't give me any kind of shake,
vibrate,v.,（使）震动、摇摆,Some insects' wings vibrate so fast that the movement is invisible to human eyes,
whirl,v./n.,（使）回旋/回旋,He whirled about in the yard,
rotate,v.,（使）旋转、转动,You can rotate the wheel with your hand,
reel,v.,眩晕；混乱,My head reeled with the facts and figures,
shuffle,v.,洗（牌）；拖着脚走；搅乱...的次序/洗牌,"With sore legs and aching chest, he shuffled over to the bathroom",
collide,v.,碰撞；抵触,"In running around the corner, he collided with another man",
contact,n./v.,接触，联系,This remote tribe had little contact with the outside world,
connect,v.,（使）连接；（使）接通（电源等）,Has the phone been connected yet?,
combine,v.,（使）联合、结合,"Carbon, hydrogen, and oxygen can combine to form carbohydrates and fats",
bond,v./n.,与...黏合（或连接）/黏合；（情感的）纽带,These two different materials weren't bond together,
integrate,v.,（使）成为一体、合并,Little attempt was made to integrate the parts into a coherent whole,
wrap,v.,包；裹；用...缠绕,"Wrapped up in this shawl, you look more pretty",
penetrate,v.,刺入；穿透；渗透；洞察,Western ideas penetrate slowly through the east,
pierce,v.,刺穿，刺破，穿透；使心如刀割,The needle pierced the material,
insert,v./n.,插入；嵌入/插入物,He inserted the key into the lock but could not open the door,
tilt,v.,（使）倾斜、歪斜,I tilted the cup to drink out of it,
tow,v./n.,拖、拉；牵引/牵引,We towed the car to the garage,
trail,v./n.,（使）拖在后面/踪迹,The carriage drove along a dirt road and left a trail of dust,
arrange,v.,安排，整理，使有条理,Contact your local branch to arrange an appointment,
manipulate,v.,（熟练的）操作；操纵,He uses his credit to manipulate his supporters,
steer,v.,掌舵；驾驶；操纵,He steered the ship carefully among the reefs,
"baptize, baptise",v.,给...施行洗礼,It transpired that Mark had been baptized a catholic,
bet,v./n.,下注；打赌；敢说/打赌；赌注,I bet our team will win,
stake,n./v.,赌注；桩/以...打赌,I'd stake my all on it,
gamble,v./n.,赌博；冒险,Don't gamble with your future,
promise,n./v.,诺言/承诺,I hope you'll keep your promise to come for a long visit,
attract,v.,吸引；引起,She was attracted by the novel advertisement,
obsess,v.,（是）痴迷、心神不宁,He became absolutely obsessed with the girl in red,
"mesmerize, mesmerise",v.,吸引；迷住,"I stood by the lake, mesmerized by the flashing colors of the fish",
nightmare,n.,噩梦，梦魇,This mid-term exam is a nightmare,
amaze,v.,使惊奇，使惊愕,John amazed his friends by suddenly getting married,
marvel,v./n.,感到惊讶，大为赞叹/奇迹,I marvel at how it can be so,
astonish,v.,使惊讶,We were astonished to hear that their football team had won the championship,
involve,v.,参加；牵涉,This forum will involve people with specialist knowledge,
annoy,v.,使恼怒；打扰,Sometimes we annoy or upset others unintentionally,
upset,v.,使心烦意乱；使生气；搅乱；打翻,I hope I haven't said anything to upset you,
bewilder,v.,使迷惑，使不知所措,A new environment can bewilder and frighten a child,
irony,n.,反话；有讽刺意味的情形,The irony is that some of the poorest countries have the richest natural resources,
indignity,n.,侮辱；轻蔑,The soldiers who were captured had to endure many indignities at the hands of the enemy,
contempt,n.,轻视，藐视,A liar is held in contempt 说谎者为人所轻视,
neglect,v./n.,忽视；忽略,"In course of time, old customs and observances tend to fall into neglect",
disregard,v./n.,不顾，漠视/忽视，漠视,"Disregarding all difficulties, we succeeded in bringing them around in the end",
ignorance,n.,无知，愚昧,"Where ignorance is bliss, 'tis folly to be wise",
bias,v./n.,使有偏见；使偏心/偏见；偏心,His experiences bias him against businessmen,
deviate,v.,偏离；背离,His statement deviates from the truth,
expel,V.,驱逐；开除；排出,The pupil was expelled for stealing,
flee,v.,逃避，逃离,"Follow love and it will flee, flee love and it will follow thee",
bully,v./n.,恐吓，欺凌/恃强凌弱者,He's always bullying smaller boys,
panic,n./v.,惊慌，惊恐/（使）惊恐、惊慌,"When the theater caught fire, there was a panic",
terrify,v.,使恐惧，使非常害怕,Her husband's violence terrified her,
revenge,n./v.,报仇，复仇/为...报仇,Hamlet took revenge for his father's murder,
kidnap,v.,绑架；劫持,A businessman has been kidnapped,
hijack,v.,劫持（飞机或其他交通工具）,The terrorists hijacked the plane and held all the passengers hostage,
smuggle,v.,走私，投运,He was caught smuggling cameras into the country,
convict,v./n.,定罪；宣判...有罪/已决犯,He was convicted of murder,
strangle,v.,扼杀，压制，勒死，扼死,The economist argues that high taxation strangles the economy,
massacre,n./v.,残杀。屠杀,The massacre of Jews by Nazi in World War II was appalling,
decimation,n.,大批杀死，大量毁灭；大大削弱,Those policies resulted in a decimation of essential services used by the poor,
intervene,v.,插话；干扰；干涉,I shall leave on Sunday if nothing intervenes,
impede,v.,妨碍，阻止,Nothing can impede his progress,
allure,v.,吸引，引诱,Those unwary investors are allured by promises of quick profits,
bait,v./n.,使上当发火/诱饵，诱惑物,He is known for baiting his opponents. 众所周知，他善于激怒对手,
induce,v.,引诱，劝说,Nothing shall induce me to join their club,
tempt,v.,引诱，诱惑，怂恿,Apply generous amounts of sunscreen 15 minutes before you go out. Don't allow impatience to tempt you into sunburn,
designate,v.,指明；选派；指派,He designated Smith as his successor,
assign,v.,布置；分配；指定；确定,It is not possible to assign this building an exact date,
distribute,v.,分发，分配,His part-time job on Sunday was to distribute leaflets on the street,
"despatch, dispatch",v.,派遣；调派；迅速处理,He dispatched his breakfast and left,
detach,v.,（使）分开，（使）分离；派遣,He had to detach himself from social activities for the time being in order to concentrate on his studies,
undo,v.,解开，打开，取笑,He finally managed to undo this knot,
disguise,v./n.,掩饰；假扮；伪装/假扮；伪装物,The spy disguised himself as a nurse,
conceal,v.,掩盖,He was unable to conceal his surprise,
refuse,v.,拒绝；回绝,Jonah's mother refused to let him go abroad,
exclude,v.,把...排除在外；拒绝,They excluded people under 18 to join the club,
reverse,v./n./adj.,颠倒；彻底改变；撤销/相反的情况；反面/相反的,He reversed the judgement and set the prisoner free,
assure,v.,向...保证；保证；保险,I can assure you of the reliability of the news,
undertake,v.,承担；许诺；保证,The developed countries should undertake the main responsibilities of global warming,
stipulate,v.,规定；明确要求；保证,We have stipulated a date of payment and a price,
convince,v.,使确信，使信服，说服,He finally convinced us of his innocence,
reassure,v.,使安心；使放心,"When the child was afraid in the storm, his parents reassured him",
wish,v./n.,想要（某事发生）/希望,I wish it to be clearly understood,
aspire,v.,有志于；渴望,These college graduates aspire to careers in finance,
desire,n./v.,愿望；欲望/渴望，期望,He desired a college education,
yearn,v.,渴望；向往,The children who had been abducted and sold yearned to return to their homes,
invoke,v.,唤起（情感等）；向...祈求帮助；恳求,The man despaired and invoked to gods,
itch,v./n.,发痒；渴望/痒；渴望,I've gotten itch on my back,
attempt,v./n.,尝试；试图/尝试；企图,He studied hard in an attempt to pass the exam,
strive,v.,努力；奋斗,,
effort,n.,努力；努力的成果,Our effects were unveiling,
"fulfil, fulfill",v.,履行；实现；完成；满足,We're determined to fulfill the task,
range,v.,（在一定幅度内的）变动,The price is ranged from 10 pounds to 20 pounds,
sort,n./v.,种类，类别/把...分类,We must sort out the good apples from the bad ones,
loom,v./n.,（庞然大物或形状模糊之物）隐现；逼近/织布机,A hard struggle looms ahead,
launch,v.,发射；发布；推出；发起,Full market research is needed before a new proudct is launched,
commence,v.,开始；着手,I will commence around a visit,
exploit,v.,开发；开采；开拓,They plan to exploit oil under the sea,
explore,v.,勘察；考察；探讨,We explore all the possibilities to find the solution,
exert,v.,运用，行驶；施加,"For college students to do a part-time job, we'll exert a profound influence on their personality and life",
tackle,v./n.,处理；应对；处理/用具；器材,Everyone has their own problems to tackle,
cope,v.,处理；应付,I'm afraid I can't cope with these troubles,
dispose,v.,布置；安排,I have to dispose of this pile of old papers and magazines,
conduct,v./n.,进行；实施/举止；行为,His conduct contradicts his words,
omit,v.,遗漏 ；省略；删去,The secretary omitted the date when typing the contract,
delete,v.,删除；删掉,References to places of battle were deleted from soldiers' letters during the war,
cancel,v.,取消；废除,The match had to be canceled due to the bad whether,
clear,adj./v.,清晰的；明显的/清除,It seems clear that he has no reasonable alternative,
erase,v.,清除；抹去,Jim tried to erase the idea from his mind,
rescue,v./n.,营救；救援,They rescued the boy who fell into the river,
resort,v./n.,求助于；采取；诉诸/（度假）胜地,I'm sorry you have resorted to deception,
recover,v.,重新拿回；恢复健康；复原,She soon recovered and stopped crying,
restore,v.,恢复；归还；修复,It's hard to restore a broken mirror,
rectify,v.,纠正；矫正；改正,I hope I can find a way to rectify your opinion of my behavior,
redeem,v.,赎回；挽回；补偿；兑现,"You botched the last job, but can redeem yourself on this one",
offset,v./n.,补偿；抵消,He offset his small salary by living economically,
replenish,v.,重新装满；补充,Your body is in survival mode and needs food to replenish its energy,
obtain,v.,获得；得到,It is wise to obtain an independent valuation,
gain,v./n.,获得；增加/增加；改进,"every time they reap gains from their investment, more people wish to join them",
supply,v./n.,供给；供应；提供/供应量；[supplies]补给品,Domestic consumers were supplied enough necessities by those companies,
offer,n./v.,给予（物）；提议/提供；出（价）,They reject all our offers to help,
render,v.,给予，提供；翻译,You have rendered great service,
enlarge,v.,扩大，扩展；放大,This photograph probably won't enlarge well,
augment,v.,扩大；增加；加强；提高,"With the birth of his third son, he found it necessary to do something to augment his income",
magnify,v.,放大；夸大,Fame is a magnifying glass,
amplify,v.,增强；扩大（声音）；充实（陈述）,The student amplified his new findings with drawings and figures,
exaggerate,v.,夸张；夸大,A painter may exaggerate or distort shapes and forms,
prolong,v.,延长,We must prolong the runway of the airfield,
uphold,v.,支持；维护；维持,The appeal court upheld the sentence,
backup,n./adj.,后援；支持（文件等的）备份/备用的,Make a backup of any work you do on the computer,
propel,v.,推动；驱使；推进,,
update,v.,更新；使现代化,Our email addresses are unlikely to be updated everyday,
raise,v.,举起；引起；抚养；提高；筹募,Please raise your hand if you've been told you're too aggressive at work,
leak,v./n.,泄露/漏洞，裂缝,A small leak will sink a great ship,
spill,v.,（使）溢出,The teacup is so full that the tea might spill over,
seep,v.,渗出；渗透,Rain seeped through the roof,
ooze,v.,(浓液等)渗出；洋溢着,Blood oozed from his wound,
evacuate,v.,疏散；撤离,The village was evacuated because of the threat of a flood,
trench,v./n.,掘沟于；砍除/沟，渠，壕沟,"The fireman's successfully trenched the roof, preventing the fire spreading further down the block",
saturate,v.,使饱和；使充满；浸透,The air was saturated with the perfume of flowers,
excuse,v./n.,原谅；同意免除/理由；借口,There is no excuse for treapassing on private property,
forgive,v.,原谅，宽恕，饶恕,I'll never forgive you for what have done wrong to my friend,
contain,v.,包含，容纳；抑制（感情）,The speech contained some interesting ideas,
regard,n./v.,尊重；问候/看待,You can't regard him as a friend but a business associate,
flatter,v.,奉承，讨好，向...谄媚,He flattered her on her cooking,
worship,n./v.,崇拜，礼拜，爱慕/做礼拜,She gazed at the famous singer with worship in her eyes,
cause,n./v.,原因，理由，事业/引起；导致,Police are investigating the likely cause of the explosion,
sake,n.,理由，目的,You should take care of your niece for the sake of your sister,
purpose,n.,目的,Their purpose is to build a fair society and a strong economy,
objective,n./adj.,宗旨；目标/客观的,My objective this summer is to learn to swim,
arouse,v.,唤起；激起；引起,The young man's behavior aroused the suspicions of the police,
trigger,v./n.,引发；触发/扳机,He accidentally triggered his revolver,
seek,v.,寻找；寻求,"They are seeking the most reasonable diet, which will do good to their health",
retrieve,v.,取回；挽回,Henry did his best to retrieve the situation,
testify,v.,作证；证明,I won't testify aginst my friend,
verify,v.,证实；核实；查清,He tried in every way to verify this theory,
specify,v.,具体指定；详细说明,Can you specify the reasons,
enlighten,v.,启发；开导；启迪,"For all my effort to enlighten her, she was still all adrift",
impart,v.,传授；透露,She imparted the secret to her boyfriend,
deserve,v.,应得；应受,You deserve a reward for being so helpful,
drop,v./n.,（使）落下；（使）降低；断绝关系/滴,"In the winter, the temperature often drops below freezing",
sink,v.,（使）下沉；下降,The captain of the sinking ship used flares to attract the attention of the coast guard,
plummet,v.,垂直掉下；（价格、水平等）骤然下跌,The damaged aircraft plummeted down to earth,
muffle,v.,使（声音）减弱,The sound of the bell was muffled by the curtains,
overshadow,v.,隐蔽；使黯然失色,He overshadowed all his competitors,
invite,v.,邀请,She invited us to her party,
welcome,int./n./v.,欢迎,We welcome constructive criticism,
greet,v.,向...问好；迎接；对...做出反应,The audiences greeted his speech with a great cheer,
salute,v./n.,（向...）行礼；致敬/行礼；致敬,They saluted each other by raising their hats,
celebrate,v.,庆祝（节日、事件等）,They all passed the exam and celebrated with a party,
congratulate,v.,祝贺；向...道贺,My must congratulate you on your engagement,
bless,v.,祝福；为...祈求上帝保佑,It is more blessed to give than to receive,
participate,v.,参加；参与,If only I could participate in your good fortune,
farewell,int./n.,再会/告别,The girl had come on the pretext of bidding him farewell,
assort,v.,把...分类；相配，协调,His actions do not assort with his promises,
correspond,v.,符合；相一致；通信,These goods don't correspond with my order,
accord,v./n.,与...一致；给予/协议,The government and the rebels are in accord on one point,
attribute,v./n.,把...归因于/属性，特性,David attributed his company success to the unity of the staff and their persevering hard word,
recall,v.,回忆，回想起,Recall the misery of the past and contrast it with the happiness of today,
recollect,v.,记忆，想起,I can recollect hearing his speech,
remind,v.,提醒；使想起,This photos remind me of my childhood,
retell,v.,重新讲述；复述,The student was asked to retell the story in his own words,
repeat,v./adj.,重复/再次光顾的,A large proportion of our bookings come from repeat business and personal recommendation,
retrospect,n.,[in ~]回顾,It was in retrospect the happiest day of her life,
impress,v.,给...深刻的印象；使铭记,His courage and determination impressed his rivals,
surmount,v.,克服；置于...的顶端,The hill is surmounted by a church,
mortify,v.,使难堪；使羞愧,He was mortified by his inability to answer the question,
pervade,v.,弥漫；渗透；遍及,The smell of cooking pervaded the entire house,
replace,v.,代替；取代,We'll get someone or other to replace him,
substitute,v./n.,替换/替代品，替补,We recommended this brand as a substitute,
distinguish,v.,区别，辨别；使出众；使著名,Some people cannot distinguished between some colors,
differentiate,v.,区分；区别；差别对待,This company does not differentiate between men and women. They employ and pay both equally,
incline,v./n.,（使）倾向于、倾斜/斜坡；倾斜,What he said inclines me to think that he will agree to our plan,
lean,v./adj.,（使）倚靠；倾斜/瘦的；贫乏的,She leaned against his shoulder,
sideways,adv.,向（或从、往）一侧,The dog swatted the hedgehog sideways,
